country,cvd_25_death_urban_est,cvd_25_death_urban_lb,cvd_25_death_urban_ub
China,25200.0,13500.0,37700.0
United States,25100.0,13500.0,37300.0
Russia,7600.0,4100.0,11400.0
India,6900.0,3700.0,10400.0
Japan,4900.0,2600.0,7200.0
Germany,4800.0,2600.0,7100.0
Italy,4600.0,2400.0,6800.0
Ukraine,3900.0,2100.0,5900.0
France,2400.0,1300.0,3600.0
South Korea,1900.0,1000.0,2900.0
United Kingdom,1900.0,1000.0,2800.0
Turkey,1600.0,900.0,2400.0
Pakistan,1500.0,800.0,2300.0
Romania,1400.0,700.0,2000.0
Poland,1400.0,800.0,2100.0
Spain,1400.0,700.0,2100.0
Iran,1400.0,800.0,2100.0
Mexico,1400.0,800.0,2100.0
Hungary,1100.0,600.0,1700.0
Canada,1000.0,500.0,1400.0
Egypt,1000.0,500.0,1500.0
Bulgaria,900.0,500.0,1300.0
Czech Republic,800.0,400.0,1200.0
Greece,800.0,400.0,1200.0
Belgium,800.0,400.0,1200.0
North Korea,700.0,400.0,1000.0
Netherlands,600.0,300.0,900.0
Austria,600.0,300.0,800.0
Algeria,600.0,300.0,900.0
Nigeria,600.0,300.0,1000.0
Morocco,500.0,300.0,800.0
Serbia & Montenegro,500.0,300.0,800.0
Brazil,500.0,300.0,800.0
Switzerland,500.0,200.0,700.0
Belarus,400.0,200.0,600.0
Kazakhstan,400.0,200.0,600.0
Uzbekistan,400.0,200.0,700.0
Iraq,300.0,100.0,400.0
Afghanistan,300.0,200.0,500.0
Georgia,300.0,100.0,400.0
Croatia,300.0,200.0,500.0
Saudi Arabia,300.0,100.0,400.0
Syria,300.0,200.0,500.0
Israel,200.0,100.0,300.0
Moldova,200.0,100.0,200.0
Slovakia,200.0,100.0,400.0
South Africa,200.0,100.0,200.0
Sweden,200.0,100.0,300.0
Portugal,200.0,100.0,300.0
Lebanon,200.0,100.0,300.0
Azerbaijan,200.0,100.0,300.0
Cuba,200.0,100.0,300.0
Bangladesh,200.0,100.0,300.0
Denmark,200.0,100.0,300.0
Nepal,100.0,100.0,200.0
Bosnia & Herzegovina,100.0,100.0,100.0
Lithuania,100.0,100.0,200.0
Libya,100.0,0.0,100.0
Albania,100.0,0.0,100.0
Slovenia,100.0,100.0,200.0
Kyrgyzstan,100.0,100.0,100.0
"Congo, DRC",100.0,100.0,200.0
Jordan,100.0,0.0,100.0
Tajikistan,100.0,0.0,100.0
Myanmar,100.0,100.0,200.0
Tunisia,100.0,100.0,200.0
Macedonia,100.0,100.0,100.0
Turkmenistan,100.0,0.0,100.0
Armenia,100.0,100.0,100.0
Vietnam,100.0,0.0,100.0
Norway,100.0,0.0,100.0
Ghana,100.0,0.0,100.0
Angola,100.0,0.0,100.0
Chile,100.0,0.0,100.0
Cambodia,0.0,0.0,0.0
Bolivia,0.0,0.0,0.0
Philippines,0.0,0.0,0.0
Central African Republic,0.0,0.0,100.0
Cameroon,0.0,0.0,0.0
Somalia,0.0,0.0,0.0
Solomon Is.,0.0,0.0,0.0
Burkina Faso,0.0,0.0,0.0
Botswana,0.0,0.0,0.0
Brunei,0.0,0.0,0.0
Senegal,0.0,0.0,0.0
Sierra Leone,0.0,0.0,0.0
Rwanda,0.0,0.0,0.0
Burundi,0.0,0.0,0.0
Puerto Rico,0.0,0.0,0.0
Qatar,0.0,0.0,0.0
Fiji,0.0,0.0,0.0
Suriname,0.0,0.0,0.0
Bhutan,0.0,0.0,0.0
Sri Lanka,0.0,0.0,0.0
Zambia,0.0,0.0,0.0
Yemen,0.0,0.0,0.0
Western Sahara,0.0,0.0,0.0
Venezuela,0.0,0.0,0.0
Vanuatu,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0
Argentina,0.0,0.0,0.0
United Arab Emirates,0.0,0.0,0.0
Australia,0.0,0.0,0.0
Uganda,0.0,0.0,0.0
Togo,0.0,0.0,0.0
Timor Leste,0.0,0.0,0.0
The Bahamas,0.0,0.0,0.0
Thailand,0.0,0.0,0.0
Tanzania,0.0,0.0,0.0
Belize,0.0,0.0,0.0
Benin,0.0,0.0,100.0
Swaziland,0.0,0.0,0.0
Paraguay,0.0,0.0,0.0
Sudan,0.0,0.0,0.0
St. Lucia,0.0,0.0,0.0
Peru,0.0,0.0,0.0
Colombia,0.0,0.0,0.0
Papua New Guinea,0.0,0.0,0.0
Haiti,0.0,0.0,0.0
Jamaica,0.0,0.0,0.0
Djibouti,0.0,0.0,0.0
Ireland,0.0,0.0,0.0
Dominican Republic,0.0,0.0,0.0
Ecuador,0.0,0.0,0.0
Indonesia,0.0,0.0,0.0
El Salvador,0.0,0.0,0.0
Iceland,0.0,0.0,0.0
Equatorial Guinea,0.0,0.0,0.0
Honduras,0.0,0.0,0.0
Guyana,0.0,0.0,0.0
Kenya,0.0,0.0,0.0
Guinea-Bissau,0.0,0.0,0.0
Guinea,0.0,0.0,0.0
Guatemala,0.0,0.0,0.0
Greenland,0.0,0.0,0.0
Eritrea,0.0,0.0,0.0
Estonia,0.0,0.0,0.0
Ethiopia,0.0,0.0,0.0
Gabon,0.0,0.0,0.0
French Guiana,0.0,0.0,0.0
Falkland Is.,0.0,0.0,0.0
Cyprus,0.0,0.0,0.0
Kuwait,0.0,0.0,0.0
Panama,0.0,0.0,0.0
Mongolia,0.0,0.0,100.0
Chad,0.0,0.0,0.0
Oman,0.0,0.0,100.0
Finland,0.0,0.0,0.0
Niger,0.0,0.0,0.0
Nicaragua,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0
New Caledonia,0.0,0.0,0.0
Congo,0.0,0.0,0.0
Namibia,0.0,0.0,0.0
Mozambique,0.0,0.0,0.0
Costa Rica,0.0,0.0,0.0
Laos,0.0,0.0,0.0
Cote d'Ivory,0.0,0.0,0.0
Mauritania,0.0,0.0,0.0
Mali,0.0,0.0,0.0
Malaysia,0.0,0.0,0.0
Malawi,0.0,0.0,0.0
